Time,Metamon,Kiss_Land,New_Harvard_N_Land,MUSK_USM_Land
06/01/2022 19:56:17,345000,361000,719888,1199999
06/01/2022 19:59:52,340000,360000,719888,1199999
06/01/2022 20:01:19,335000,360000,719888,1199999
06/01/2022 20:04:54,335000,355555,719888,1199999
06/01/2022 20:06:21,345000,355555,719888,1199999
06/01/2022 20:09:56,340000,355555,719888,1199999
06/01/2022 20:11:23,340000,355555,719888,1199999
06/01/2022 20:14:58,340000,355555,719888,1199999
06/01/2022 20:16:25,340000,355555,719888,1199999
06/01/2022 20:20:00,340000,355555,719888,1199999
06/01/2022 20:21:27,340000,355555,719888,1199999
06/01/2022 20:25:02,345000,355555,719888,1199999
06/01/2022 20:26:29,345000,365000,719888,1199999
06/01/2022 20:30:04,345000,365000,720000,1199999
06/01/2022 20:31:31,345000,365000,720000,1199999
06/01/2022 20:35:06,345000,365000,720000,1199999
06/01/2022 20:36:33,345000,365000,720000,1199999
06/01/2022 20:40:08,345000,365000,720000,1199999
06/01/2022 20:41:35,345000,365000,720000,1199999
06/01/2022 20:45:10,340000,365000,720000,1199999
06/01/2022 20:46:37,340000,365000,720000,1199999
06/01/2022 20:50:12,340000,365000,720000,1199999
06/01/2022 20:51:39,340000,367999,720000,1199999
06/01/2022 20:55:14,340000,367999,720000,1199999
06/01/2022 20:56:41,340000,365000,720000,1199999
06/01/2022 21:00:16,340000,365000,720000,1199999
06/01/2022 21:01:43,340000,364000,720000,1199999
06/01/2022 21:05:18,340000,364000,720000,1199999
06/01/2022 21:06:45,340000,364000,720000,1199999
06/01/2022 21:10:20,340000,365000,720000,1199999
06/01/2022 21:11:47,340000,365000,720000,1190000
06/01/2022 21:15:22,345000,364000,719999,1190000
06/01/2022 21:16:49,345000,364000,719999,1190000
06/01/2022 21:20:24,345000,364000,719999,1190000
06/01/2022 21:21:51,345000,364000,719999,1190000
06/01/2022 21:25:26,344888,364000,719999,1190000
06/01/2022 21:26:53,344888,364000,719999,1190000
06/01/2022 21:30:28,344888,364000,719999,1149999
06/01/2022 21:31:55,344888,360000,719999,1149999
06/01/2022 21:35:30,344888,360000,719999,1149999
06/01/2022 21:36:57,344888,360000,719999,1149999
06/01/2022 21:40:32,344888,359000,719999,1149999
06/01/2022 21:41:59,344777,359000,719999,1149999
06/01/2022 21:45:34,344777,359999,719999,1149999
06/01/2022 21:47:01,344888,340000,719999,1190000
06/01/2022 21:50:36,344888,359999,719999,1099999
06/01/2022 21:52:03,344888,359999,719999,1099999
06/01/2022 21:55:38,340000,359999,719999,1190000
06/01/2022 21:57:05,340000,360000,719999,1190000
06/01/2022 22:00:40,339888,360000,719999,1190000
06/01/2022 22:02:07,339888,360000,719999,1190000
06/01/2022 22:03:05,339888,360000,719999,1190000
06/01/2022 22:05:42,339888,360000,719999,1190000
06/01/2022 22:07:09,339888,360000,719999,1190000
06/01/2022 22:09:51,339888,360000,719999,1190000
06/01/2022 22:10:44,339888,360000,719999,1190000
06/01/2022 22:12:11,339888,364000,719999,1190000
06/01/2022 22:14:51,333333,364000,719999,1190000
06/01/2022 22:15:46,339888,364000,719999,1190000
06/01/2022 22:17:13,338000,361500,719999,1190000
06/01/2022 22:19:51,339000,361500,719999,1190000
06/01/2022 22:20:48,339888,361500,719999,1190000
06/01/2022 22:22:15,339888,361500,719999,1190000
06/01/2022 22:24:51,339888,361500,719999,1190000
06/01/2022 22:25:50,340000,361500,719999,1190000
06/01/2022 22:27:17,339990,364000,719999,1190000
06/01/2022 22:29:51,340000,364000,719999,1190000
06/01/2022 22:30:52,340000,364000,719999,1190000
06/01/2022 22:32:19,340000,364000,719999,1199999
06/01/2022 22:34:51,340000,364000,719999,1189990
06/01/2022 22:35:54,340000,364000,719999,1189990
06/01/2022 22:37:21,339988,364000,719999,1189990
06/01/2022 22:39:51,339988,364000,719999,1189990
06/01/2022 22:40:56,339988,364000,719999,1189990
